@relation activity_recognition_labeled

@attribute "X0" numeric
@attribute "X1" numeric
@attribute "X2" numeric
@attribute "X3" numeric
@attribute "X4" numeric
@attribute "Y0" numeric
@attribute "Y1" numeric
@attribute "Y2" numeric
@attribute "Y3" numeric
@attribute "Y4" numeric
@attribute "Z0" numeric
@attribute "Z1" numeric
@attribute "Z2" numeric
@attribute "Z3" numeric
@attribute "Z4" numeric
@attribute "XAVG" numeric
@attribute "YAVG" numeric
@attribute "ZAVG" numeric
@attribute "XSTANDDEV" numeric
@attribute "YSTANDDEV" numeric
@attribute "ZSTANDDEV" numeric
@attribute "RESULTANT" numeric
@attribute class{  "Driving", "Walking" , "Jogging" , "Upstairs" , "Downstairs" , "Sitting" , "Standing", "Still" }

@data
0.16,0.36,0.12,0.33,0.03,0.03,0.43,0.51,0.03,0.00,0.08,0.39,0.28,0.22,0.03,5.35,2.64,-7.81,0.07,0.03,0.06,7.86,Driving
0.12,0.56,0.16,0.14,0.03,0.04,0.53,0.40,0.03,0.00,0.09,0.48,0.29,0.12,0.02,5.31,2.64,-7.84,0.06,0.03,0.05,7.86,Driving
0.07,0.53,0.34,0.04,0.02,0.03,0.18,0.48,0.26,0.05,0.14,0.44,0.35,0.06,0.01,5.28,2.63,-7.86,0.03,0.02,0.03,7.86,Driving
0.05,0.70,0.07,0.07,0.12,0.01,0.15,0.63,0.19,0.03,0.30,0.48,0.07,0.11,0.05,5.34,2.64,-7.82,0.13,0.04,0.10,7.86,Driving
0.01,0.47,0.49,0.01,0.01,0.01,0.02,0.94,0.02,0.01,0.09,0.48,0.40,0.02,0.01,5.46,2.65,-7.73,0.27,0.23,0.16,7.87,Driving
0.01,0.31,0.66,0.01,0.01,0.01,0.02,0.95,0.01,0.01,0.07,0.51,0.40,0.02,0.01,5.49,2.65,-7.71,0.24,0.20,0.14,7.87,Driving
0.01,0.17,0.81,0.01,0.01,0.01,0.02,0.95,0.01,0.01,0.01,0.55,0.41,0.02,0.01,5.53,2.65,-7.69,0.21,0.20,0.12,7.87,Driving
0.01,0.35,0.59,0.04,0.01,0.01,0.02,0.92,0.05,0.01,0.10,0.71,0.13,0.02,0.03,5.49,2.65,-7.72,0.25,0.22,0.17,7.87,Driving
0.03,0.64,0.28,0.02,0.03,0.27,0.63,0.07,0.03,0.01,0.26,0.63,0.07,0.01,0.03,5.44,2.67,-7.75,0.18,0.11,0.16,7.87,Driving
0.01,0.04,0.80,0.15,0.00,0.01,0.76,0.16,0.05,0.02,0.01,0.04,0.75,0.15,0.04,5.40,2.88,-7.68,0.49,0.45,0.45,7.88,Driving
0.02,0.22,0.61,0.15,0.00,0.02,0.56,0.35,0.05,0.02,0.01,0.09,0.70,0.15,0.04,5.19,3.01,-7.76,0.63,0.45,0.50,7.88,Driving
0.02,0.12,0.64,0.22,0.00,0.47,0.35,0.07,0.10,0.01,0.01,0.60,0.19,0.14,0.05,4.98,3.65,-7.48,0.76,1.29,0.94,7.88,Driving
0.02,0.28,0.61,0.07,0.01,0.01,0.61,0.21,0.14,0.03,0.01,0.63,0.18,0.13,0.05,4.85,3.86,-7.48,0.75,1.29,0.93,7.89,Driving
0.01,0.22,0.72,0.04,0.01,0.00,0.64,0.18,0.14,0.03,0.41,0.39,0.07,0.11,0.03,4.84,3.89,-7.48,0.62,1.25,0.87,7.88,Driving
0.01,0.12,0.83,0.04,0.01,0.00,0.56,0.26,0.14,0.03,0.24,0.56,0.07,0.11,0.03,4.95,3.97,-7.38,0.61,1.21,0.80,7.88,Driving
0.03,0.18,0.42,0.27,0.10,0.03,0.22,0.65,0.09,0.01,0.04,0.24,0.62,0.09,0.01,4.90,3.39,-7.82,0.24,0.23,0.16,7.87,Driving
0.05,0.19,0.36,0.31,0.09,0.03,0.30,0.62,0.04,0.01,0.04,0.17,0.45,0.29,0.06,4.87,3.34,-7.87,0.26,0.22,0.16,7.88,Driving
0.05,0.25,0.36,0.28,0.06,0.01,0.09,0.49,0.37,0.03,0.04,0.19,0.54,0.20,0.03,4.81,3.37,-7.90,0.25,0.27,0.15,7.88,Driving
0.04,0.21,0.38,0.31,0.07,0.01,0.03,0.26,0.42,0.27,0.10,0.31,0.46,0.10,0.03,4.81,3.40,-7.90,0.23,0.29,0.14,7.89,Driving
0.11,0.65,0.17,0.04,0.02,0.06,0.21,0.41,0.31,0.01,0.02,0.18,0.69,0.11,0.01,4.84,3.21,-7.96,0.32,0.44,0.23,7.90,Driving
0.08,0.34,0.51,0.05,0.03,0.05,0.25,0.54,0.12,0.04,0.03,0.07,0.76,0.11,0.02,4.83,2.96,-8.04,0.72,0.47,1.11,7.91,Driving
0.05,0.56,0.34,0.03,0.02,0.03,0.17,0.61,0.16,0.03,0.02,0.05,0.84,0.07,0.01,4.61,3.02,-8.15,0.67,0.41,0.92,7.91,Driving
0.04,0.63,0.28,0.03,0.01,0.03,0.22,0.55,0.18,0.02,0.02,0.04,0.87,0.06,0.01,4.54,2.99,-8.20,0.63,0.41,0.84,7.91,Driving
0.04,0.80,0.13,0.01,0.01,0.02,0.14,0.59,0.23,0.02,0.02,0.05,0.86,0.06,0.01,4.42,2.99,-8.27,0.56,0.37,0.84,7.90,Driving
0.14,0.43,0.26,0.10,0.08,0.06,0.09,0.25,0.54,0.07,0.02,0.16,0.71,0.10,0.01,4.63,2.76,-8.24,0.46,0.45,0.25,7.90,Driving
0.02,0.10,0.24,0.44,0.19,0.04,0.13,0.21,0.56,0.06,0.04,0.14,0.44,0.37,0.01,4.59,2.53,-8.34,0.69,0.49,0.39,7.92,Driving
0.06,0.14,0.21,0.39,0.19,0.06,0.17,0.19,0.44,0.15,0.02,0.09,0.14,0.42,0.33,4.45,2.45,-8.44,0.82,0.53,0.48,7.93,Driving
0.09,0.17,0.35,0.26,0.13,0.07,0.23,0.33,0.19,0.17,0.08,0.25,0.49,0.15,0.03,4.72,2.63,-8.21,1.04,0.74,0.75,7.95,Driving
0.09,0.30,0.35,0.09,0.16,0.04,0.14,0.24,0.36,0.22,0.08,0.30,0.37,0.20,0.05,4.52,3.08,-8.16,1.07,0.65,0.83,7.95,Driving
0.21,0.33,0.18,0.18,0.10,0.05,0.08,0.23,0.41,0.23,0.34,0.39,0.12,0.13,0.02,4.96,3.14,-7.89,0.81,0.63,0.59,7.92,Driving
0.19,0.20,0.19,0.29,0.13,0.01,0.13,0.17,0.28,0.41,0.08,0.54,0.20,0.15,0.02,5.19,2.78,-7.88,0.86,0.94,0.59,7.95,Driving
0.07,0.04,0.28,0.42,0.20,0.01,0.16,0.29,0.41,0.12,0.02,0.08,0.42,0.43,0.05,4.65,2.67,-8.24,1.05,0.91,0.38,7.94,Driving
0.12,0.22,0.05,0.38,0.24,0.01,0.21,0.37,0.26,0.14,0.01,0.01,0.16,0.39,0.43,4.04,2.49,-8.59,1.66,0.93,0.81,8.01,Driving
0.12,0.30,0.22,0.27,0.09,0.09,0.08,0.33,0.38,0.13,0.01,0.01,0.16,0.55,0.27,3.43,2.94,-8.77,1.40,0.87,0.74,8.02,Driving
0.08,0.20,0.30,0.34,0.09,0.05,0.05,0.26,0.53,0.11,0.01,0.01,0.09,0.36,0.53,3.17,3.21,-8.85,1.07,0.66,0.67,8.02,Driving
0.03,0.08,0.21,0.16,0.52,0.02,0.03,0.07,0.70,0.18,0.01,0.00,0.06,0.37,0.56,3.56,3.25,-8.64,0.93,0.48,0.58,7.97,Driving
0.06,0.07,0.13,0.55,0.18,0.04,0.06,0.28,0.48,0.14,0.03,0.12,0.35,0.41,0.09,4.06,3.25,-8.41,0.51,0.28,0.31,7.93,Driving
0.23,0.55,0.19,0.01,0.02,0.03,0.05,0.09,0.52,0.32,0.04,0.29,0.48,0.18,0.01,4.31,3.16,-8.30,0.35,0.37,0.24,7.90,Driving
0.31,0.16,0.14,0.31,0.09,0.31,0.19,0.09,0.12,0.30,0.10,0.38,0.38,0.12,0.01,5.25,2.15,-8.06,0.88,0.91,0.32,7.96,Driving
0.01,0.07,0.29,0.54,0.09,0.45,0.31,0.17,0.04,0.03,0.11,0.33,0.44,0.09,0.04,6.05,1.43,-7.80,0.39,0.44,0.27,7.99,Driving
0.03,0.10,0.16,0.48,0.23,0.49,0.30,0.05,0.08,0.07,0.11,0.34,0.42,0.10,0.03,5.85,1.71,-7.83,0.64,0.80,0.29,7.98,Driving
0.05,0.30,0.13,0.46,0.07,0.27,0.03,0.09,0.46,0.15,0.15,0.49,0.21,0.11,0.04,5.63,2.85,-7.57,0.90,1.13,0.71,7.98,Driving
0.08,0.24,0.28,0.33,0.07,0.14,0.36,0.24,0.21,0.05,0.18,0.19,0.21,0.31,0.12,6.04,3.95,-6.81,1.13,0.63,1.08,8.04,Driving
0.14,0.28,0.19,0.29,0.10,0.12,0.31,0.30,0.20,0.07,0.22,0.23,0.17,0.22,0.16,5.83,4.06,-6.89,1.28,0.65,1.18,8.04,Driving
0.16,0.33,0.17,0.26,0.08,0.18,0.24,0.30,0.19,0.08,0.29,0.23,0.15,0.19,0.14,5.67,3.87,-7.07,1.28,0.76,1.21,8.02,Driving
0.15,0.41,0.10,0.19,0.14,0.28,0.19,0.21,0.22,0.11,0.36,0.28,0.05,0.14,0.17,5.42,3.83,-7.21,1.27,0.87,1.29,8.00,Driving
0.24,0.23,0.31,0.14,0.07,0.08,0.16,0.29,0.36,0.11,0.03,0.48,0.38,0.11,0.00,3.54,3.89,-8.42,0.43,0.33,0.22,7.95,Driving
0.25,0.25,0.35,0.14,0.01,0.02,0.19,0.32,0.33,0.14,0.03,0.40,0.41,0.15,0.01,3.71,3.75,-8.38,0.48,0.38,0.23,7.94,Driving
0.10,0.22,0.47,0.18,0.02,0.06,0.27,0.38,0.25,0.04,0.03,0.33,0.48,0.15,0.01,3.89,3.57,-8.36,0.42,0.36,0.23,7.92,Driving
0.10,0.39,0.30,0.17,0.03,0.09,0.19,0.46,0.23,0.04,0.04,0.29,0.47,0.19,0.02,4.13,3.36,-8.30,0.35,0.37,0.22,7.90,Driving
0.12,0.34,0.30,0.21,0.03,0.07,0.25,0.39,0.25,0.05,0.05,0.27,0.46,0.20,0.02,4.27,3.20,-8.30,0.33,0.31,0.23,7.90,Driving
0.08,0.24,0.32,0.29,0.07,0.07,0.28,0.42,0.21,0.03,0.03,0.20,0.41,0.27,0.09,4.33,3.13,-8.28,0.31,0.28,0.23,7.89,Driving
0.02,0.31,0.52,0.14,0.00,0.11,0.58,0.30,0.01,0.00,0.03,0.25,0.48,0.22,0.02,4.36,3.15,-8.26,0.28,0.26,0.26,7.89,Driving
0.01,0.28,0.56,0.15,0.00,0.04,0.44,0.47,0.04,0.01,0.05,0.32,0.47,0.14,0.01,4.38,3.12,-8.25,0.27,0.29,0.28,7.88,Driving
0.02,0.23,0.58,0.15,0.02,0.08,0.49,0.38,0.05,0.01,0.03,0.28,0.50,0.16,0.03,4.43,3.04,-8.24,0.30,0.33,0.30,7.88,Driving
0.02,0.21,0.57,0.18,0.02,0.10,0.46,0.38,0.06,0.01,0.03,0.25,0.51,0.17,0.04,4.46,3.05,-8.22,0.32,0.36,0.31,7.88,Driving
0.05,0.28,0.50,0.14,0.02,0.06,0.31,0.44,0.16,0.04,0.04,0.23,0.52,0.17,0.04,4.52,2.92,-8.23,0.32,0.31,0.31,7.87,Driving
0.01,0.02,0.92,0.02,0.02,0.03,0.31,0.63,0.01,0.01,0.01,0.02,0.47,0.45,0.05,4.68,2.94,-8.15,0.10,0.10,0.06,7.88,Driving
0.01,0.01,0.95,0.02,0.01,0.02,0.32,0.64,0.01,0.01,0.00,0.01,0.47,0.47,0.04,4.68,2.94,-8.15,0.08,0.08,0.06,7.88,Driving
0.32,0.65,0.02,0.00,0.00,0.19,0.54,0.24,0.02,0.01,0.09,0.41,0.43,0.07,0.00,4.68,2.95,-8.15,0.04,0.04,0.05,7.88,Driving
0.04,0.83,0.12,0.00,0.00,0.00,0.18,0.65,0.16,0.01,0.00,0.00,0.23,0.73,0.03,4.68,2.95,-8.15,0.05,0.04,0.05,7.88,Driving
0.04,0.70,0.24,0.01,0.00,0.00,0.13,0.59,0.25,0.03,0.00,0.00,0.18,0.73,0.09,4.69,2.97,-8.14,0.05,0.05,0.06,7.88,Driving
0.02,0.50,0.43,0.05,0.01,0.00,0.08,0.56,0.31,0.05,0.00,0.01,0.62,0.36,0.01,4.71,2.98,-8.12,0.06,0.05,0.06,7.88,Driving
0.02,0.29,0.58,0.10,0.00,0.01,0.12,0.60,0.24,0.03,0.00,0.00,0.56,0.42,0.01,4.72,2.98,-8.11,0.07,0.06,0.07,7.88,Driving
0.00,0.00,0.07,0.84,0.08,0.22,0.68,0.09,0.00,0.00,0.11,0.50,0.36,0.03,0.00,4.74,2.99,-8.09,0.08,0.06,0.06,7.88,Driving
0.40,0.07,0.40,0.00,0.13,0.13,0.20,0.20,0.33,0.13,0.07,0.33,0.27,0.13,0.20,4.31,3.51,-8.10,0.21,0.35,0.15,7.86,Driving
0.02,0.11,0.46,0.34,0.08,0.04,0.33,0.39,0.21,0.03,0.03,0.14,0.49,0.30,0.05,4.51,3.08,-8.19,0.32,0.35,0.26,7.88,Driving
0.01,0.08,0.41,0.41,0.08,0.03,0.36,0.44,0.16,0.02,0.02,0.14,0.45,0.34,0.05,4.56,3.05,-8.17,0.30,0.31,0.26,7.88,Driving
0.01,0.06,0.40,0.42,0.11,0.12,0.39,0.36,0.12,0.01,0.01,0.14,0.44,0.36,0.05,4.57,3.06,-8.16,0.28,0.28,0.26,7.88,Driving
0.02,0.17,0.38,0.37,0.07,0.12,0.29,0.36,0.19,0.04,0.03,0.24,0.44,0.26,0.03,4.62,3.02,-8.15,0.26,0.26,0.25,7.88,Driving
0.02,0.28,0.46,0.21,0.03,0.02,0.20,0.40,0.30,0.08,0.04,0.21,0.42,0.29,0.05,4.68,3.01,-8.12,0.30,0.28,0.28,7.88,Driving
0.02,0.21,0.41,0.30,0.05,0.03,0.35,0.37,0.21,0.04,0.04,0.19,0.44,0.29,0.05,4.76,2.89,-8.12,0.32,0.28,0.27,7.88,Driving
0.09,0.29,0.40,0.19,0.03,0.04,0.46,0.42,0.06,0.01,0.04,0.17,0.40,0.33,0.05,4.93,2.78,-8.05,0.30,0.21,0.29,7.88,Driving
0.08,0.28,0.39,0.22,0.04,0.05,0.49,0.39,0.05,0.01,0.02,0.16,0.40,0.37,0.06,4.96,2.75,-8.03,0.31,0.21,0.28,7.87,Driving
0.05,0.12,0.35,0.31,0.18,0.21,0.15,0.16,0.30,0.19,0.08,0.30,0.19,0.30,0.13,5.37,2.99,-7.66,0.36,0.80,0.27,7.89,Driving
0.07,0.14,0.10,0.41,0.28,0.17,0.14,0.30,0.24,0.15,0.10,0.10,0.28,0.29,0.23,5.10,2.97,-7.84,0.65,0.72,0.43,7.89,Driving
0.05,0.21,0.36,0.24,0.14,0.12,0.08,0.49,0.27,0.03,0.11,0.30,0.36,0.19,0.05,4.85,2.59,-8.15,0.56,0.39,0.32,7.89,Driving
0.05,0.20,0.41,0.18,0.16,0.00,0.08,0.43,0.37,0.11,0.07,0.24,0.36,0.19,0.14,4.91,2.55,-8.12,0.59,0.27,0.34,7.89,Driving
0.04,0.15,0.32,0.24,0.24,0.15,0.39,0.33,0.11,0.02,0.07,0.21,0.30,0.25,0.17,5.13,2.55,-8.00,0.63,0.26,0.37,7.90,Driving
0.13,0.37,0.21,0.17,0.13,0.16,0.44,0.29,0.07,0.04,0.05,0.31,0.31,0.20,0.13,5.20,2.57,-7.94,0.49,0.29,0.29,7.88,Driving
0.12,0.28,0.31,0.22,0.08,0.18,0.37,0.26,0.15,0.04,0.02,0.18,0.45,0.32,0.03,5.28,2.72,-7.87,0.47,0.39,0.31,7.90,Driving
0.14,0.38,0.39,0.09,0.00,0.16,0.42,0.25,0.14,0.04,0.02,0.24,0.56,0.15,0.02,5.11,2.76,-7.97,0.36,0.36,0.27,7.90,Driving
0.16,0.39,0.24,0.11,0.10,0.15,0.05,0.33,0.36,0.12,0.02,0.22,0.48,0.26,0.02,5.35,2.41,-7.91,0.60,0.74,0.29,7.92,Driving
0.05,0.48,0.25,0.11,0.10,0.15,0.05,0.32,0.38,0.10,0.02,0.13,0.61,0.22,0.02,5.40,2.36,-7.91,0.56,0.71,0.27,7.92,Driving
0.38,0.26,0.13,0.12,0.11,0.15,0.08,0.12,0.51,0.14,0.02,0.32,0.35,0.20,0.10,5.48,2.14,-7.90,0.58,0.64,0.21,7.91,Driving
0.03,0.54,0.18,0.07,0.19,0.20,0.05,0.15,0.55,0.05,0.01,0.46,0.26,0.12,0.14,5.46,2.14,-7.92,0.66,0.70,0.22,7.92,Driving
0.03,0.12,0.15,0.16,0.54,0.12,0.73,0.15,0.00,0.00,0.03,0.16,0.16,0.42,0.23,4.85,2.62,-8.14,0.17,0.10,0.11,7.87,Driving
0.17,0.51,0.14,0.14,0.04,0.04,0.33,0.55,0.08,0.00,0.22,0.43,0.17,0.15,0.03,4.90,2.54,-8.14,0.29,0.17,0.18,7.87,Driving
0.23,0.35,0.16,0.10,0.16,0.15,0.08,0.19,0.55,0.02,0.14,0.31,0.18,0.26,0.10,5.19,2.31,-8.03,0.54,0.52,0.22,7.89,Driving
0.13,0.20,0.38,0.13,0.15,0.12,0.07,0.53,0.17,0.11,0.00,0.13,0.38,0.27,0.22,4.89,2.48,-8.15,0.69,0.60,0.29,7.90,Driving
0.17,0.19,0.21,0.28,0.16,0.12,0.08,0.50,0.19,0.11,0.06,0.26,0.25,0.40,0.03,4.97,2.48,-8.11,0.76,0.61,0.38,7.91,Driving
0.18,0.19,0.17,0.37,0.10,0.08,0.03,0.43,0.33,0.13,0.07,0.27,0.19,0.38,0.09,4.94,2.63,-8.07,0.74,0.56,0.43,7.90,Driving
0.05,0.10,0.10,0.54,0.20,0.03,0.20,0.56,0.17,0.04,0.09,0.12,0.12,0.50,0.17,5.18,2.67,-7.92,0.52,0.21,0.45,7.89,Driving
0.39,0.30,0.00,0.06,0.24,0.45,0.27,0.06,0.06,0.15,0.09,0.48,0.12,0.15,0.15,4.78,2.69,-8.19,0.38,0.15,0.30,7.90,Driving
0.08,0.61,0.30,0.00,0.01,0.07,0.32,0.51,0.09,0.01,0.01,0.25,0.64,0.10,0.01,4.74,2.53,-8.27,0.13,0.11,0.11,7.89,Driving
0.01,0.04,0.38,0.49,0.08,0.06,0.50,0.36,0.06,0.02,0.03,0.34,0.53,0.08,0.02,4.78,2.58,-8.22,0.32,0.34,0.19,7.89,Driving
0.01,0.04,0.38,0.49,0.07,0.06,0.47,0.41,0.05,0.01,0.03,0.31,0.57,0.08,0.02,4.78,2.59,-8.22,0.31,0.33,0.19,7.89,Driving
0.01,0.05,0.32,0.53,0.09,0.07,0.44,0.40,0.07,0.02,0.03,0.28,0.57,0.09,0.02,4.81,2.59,-8.20,0.34,0.37,0.20,7.89,Driving
0.03,0.00,0.00,0.18,0.79,0.26,0.18,0.32,0.15,0.09,0.03,0.00,0.06,0.41,0.50,5.08,2.64,-7.99,0.06,0.03,0.05,7.87,Driving
0.02,0.17,0.42,0.32,0.07,0.20,0.49,0.27,0.04,0.01,0.02,0.16,0.43,0.31,0.08,5.09,2.65,-7.99,0.03,0.03,0.03,7.87,Driving
0.02,0.49,0.36,0.12,0.01,0.00,0.02,0.19,0.70,0.08,0.01,0.05,0.38,0.52,0.04,1.69,-9.59,-0.22,2.41,1.69,1.83,8.16,Walking
0.02,0.13,0.59,0.23,0.04,0.03,0.13,0.59,0.16,0.09,0.01,0.05,0.47,0.44,0.03,2.01,-9.36,-0.60,2.60,2.40,3.23,8.32,Walking
0.02,0.12,0.58,0.24,0.04,0.04,0.15,0.53,0.19,0.09,0.01,0.06,0.45,0.45,0.03,2.10,-9.38,-0.57,2.64,2.49,3.31,8.39,Walking
0.01,0.09,0.56,0.28,0.06,0.04,0.17,0.49,0.19,0.11,0.01,0.08,0.44,0.42,0.04,2.23,-9.30,-0.65,2.52,2.70,3.57,8.41,Walking
0.02,0.19,0.56,0.19,0.04,0.05,0.20,0.41,0.21,0.13,0.04,0.15,0.51,0.26,0.03,2.29,-9.33,-0.60,2.47,2.90,3.79,8.49,Walking
0.08,0.46,0.29,0.14,0.04,0.04,0.20,0.45,0.22,0.10,0.05,0.17,0.42,0.31,0.04,2.49,-9.38,-0.80,2.24,2.68,3.60,8.50,Walking
0.11,0.70,0.16,0.02,0.01,0.03,0.16,0.58,0.16,0.06,0.04,0.13,0.54,0.26,0.03,2.36,-9.44,0.13,1.96,1.94,2.67,8.22,Walking
0.07,0.80,0.11,0.02,0.01,0.04,0.09,0.76,0.08,0.03,0.05,0.08,0.80,0.06,0.01,2.37,-9.41,0.47,1.68,1.36,1.99,8.04,Walking
0.11,0.74,0.13,0.02,0.01,0.02,0.03,0.73,0.17,0.06,0.02,0.10,0.66,0.20,0.02,2.63,-9.33,-0.34,1.48,1.30,1.95,8.00,Walking
0.10,0.71,0.17,0.02,0.00,0.01,0.03,0.67,0.23,0.06,0.02,0.12,0.66,0.18,0.02,2.78,-9.23,-0.51,1.50,1.29,1.95,7.97,Walking
0.09,0.74,0.15,0.01,0.00,0.01,0.02,0.72,0.21,0.04,0.01,0.08,0.60,0.29,0.01,2.85,-9.27,-0.27,1.33,1.09,1.74,7.96,Walking
0.03,0.70,0.17,0.08,0.01,0.02,0.11,0.75,0.08,0.04,0.04,0.09,0.08,0.73,0.06,2.87,-9.33,0.10,0.74,0.51,0.96,7.88,Walking
0.02,0.79,0.12,0.06,0.01,0.01,0.07,0.83,0.06,0.03,0.03,0.06,0.05,0.81,0.04,2.79,-9.37,0.18,0.63,0.43,0.80,7.87,Walking
0.12,0.76,0.07,0.04,0.01,0.03,0.83,0.09,0.03,0.01,0.01,0.02,0.04,0.30,0.63,2.80,-9.37,0.18,0.50,0.33,0.72,7.86,Walking
0.06,0.85,0.05,0.02,0.01,0.01,0.88,0.08,0.02,0.01,0.01,0.01,0.01,0.03,0.94,2.86,-9.36,0.24,0.42,0.26,0.57,7.86,Walking
0.06,0.86,0.05,0.02,0.01,0.01,0.86,0.10,0.02,0.01,0.01,0.01,0.01,0.03,0.94,2.95,-9.33,0.34,0.40,0.26,0.61,7.85,Walking
0.02,0.90,0.05,0.02,0.01,0.01,0.86,0.10,0.02,0.01,0.01,0.01,0.01,0.08,0.88,2.98,-9.30,0.49,0.37,0.25,0.66,7.85,Walking
0.37,0.28,0.31,0.03,0.01,0.02,0.66,0.30,0.01,0.00,0.22,0.15,0.38,0.17,0.09,2.90,-9.34,0.72,0.18,0.05,0.24,7.85,Walking
0.85,0.13,0.01,0.00,0.00,0.74,0.22,0.02,0.00,0.01,0.09,0.53,0.36,0.01,0.00,2.89,-9.35,0.64,0.13,0.05,0.09,7.85,Walking
0.13,0.69,0.14,0.02,0.02,0.21,0.62,0.13,0.03,0.01,0.06,0.05,0.77,0.12,0.01,3.00,-9.32,0.59,0.19,0.07,0.14,7.85,Walking
0.06,0.62,0.28,0.03,0.02,0.07,0.72,0.17,0.03,0.01,0.05,0.26,0.65,0.04,0.01,3.07,-9.30,0.53,0.17,0.06,0.14,7.85,Walking
0.11,0.45,0.39,0.03,0.01,0.09,0.48,0.39,0.03,0.01,0.04,0.27,0.65,0.04,0.00,3.01,-9.32,0.53,0.20,0.07,0.13,7.85,Walking
0.10,0.24,0.60,0.04,0.02,0.00,0.66,0.33,0.00,0.00,0.05,0.52,0.40,0.03,0.00,2.99,-9.32,0.52,0.21,0.12,0.14,7.85,Walking
0.02,0.18,0.72,0.07,0.01,0.01,0.94,0.04,0.00,0.00,0.01,0.43,0.50,0.06,0.01,2.97,-9.33,0.53,0.20,0.15,0.14,7.85,Walking
0.02,0.18,0.75,0.05,0.01,0.01,0.94,0.04,0.00,0.00,0.01,0.35,0.57,0.06,0.01,2.92,-9.35,0.55,0.19,0.15,0.13,7.85,Walking
0.01,0.05,0.90,0.04,0.00,0.01,0.98,0.01,0.00,0.00,0.01,0.49,0.47,0.03,0.00,2.97,-9.33,0.52,0.13,0.11,0.11,7.85,Walking
0.19,0.74,0.06,0.00,0.01,0.01,0.15,0.69,0.14,0.01,0.01,0.11,0.62,0.25,0.01,2.96,-9.34,0.51,0.06,0.03,0.07,7.85,Walking
0.05,0.13,0.23,0.44,0.16,0.01,0.08,0.49,0.39,0.03,0.06,0.40,0.35,0.17,0.02,2.95,-9.34,0.51,0.04,0.02,0.05,7.85,Walking
0.00,0.01,0.14,0.60,0.25,0.04,0.30,0.47,0.17,0.02,0.02,0.11,0.35,0.45,0.07,2.96,-9.33,0.56,0.03,0.02,0.05,7.85,Walking
0.00,0.02,0.16,0.59,0.23,0.04,0.29,0.48,0.17,0.02,0.02,0.16,0.38,0.39,0.05,2.96,-9.33,0.55,0.04,0.02,0.05,7.85,Walking
0.01,0.04,0.40,0.41,0.13,0.03,0.25,0.41,0.26,0.04,0.04,0.17,0.41,0.33,0.06,2.96,-9.33,0.56,0.03,0.02,0.05,7.85,Walking
0.01,0.03,0.50,0.42,0.04,0.01,0.09,0.80,0.08,0.02,0.02,0.53,0.40,0.04,0.01,3.00,-9.32,0.49,0.19,0.11,0.16,7.85,Walking
